;Order;PID;MS_SubClass;Lot_Frontage;Lot_Area;Overall_Qual;Overall_Cond;Year_Built;Mas_Vnr_Area;BsmtFin SF 1;BsmtFin SF 2;Bsmt_Unf_SF;Total_Bsmt_SF;1st Flr SF;2nd Flr SF;Low Qual Fin SF;Gr_Liv_Area;Bsmt Full Bath;Bsmt Half Bath;Full_Bath;Half_Bath;Bedroom_AbvGr;Kitchen AbvGr;Garage_Yr_Blt;Garage_Cars;Garage_Area;Wood Deck SF;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;Pool Area;Misc Val;Mo Sold;Yr Sold;Sale_Price;DEDED
892;892;908154040;20;86;13286;9;5;2007;340;1234;0;464;1698;1698;0;0;1698;1;0;2;0;3;1;2007;3;768;327;64;0;0;0;0;0;2;2009;320000;320000
893;893;908186080;180;35;3675;6;5;2005;80;547;0;0;547;1072;0;0;1072;1;0;1;0;2;1;2005;2;525;0;28;0;0;0;0;0;4;2009;145500;145500
894;894;908201040;20;50;9405;5;9;1947;0;0;0;698;698;698;0;0;698;0;1;1;0;2;1;NA;0;0;0;200;0;0;0;0;0;6;2009;118000;118000
895;895;908203090;20;64;6410;4;5;1959;0;332;243;301;876;876;0;0;876;0;0;1;0;3;1;1959;1;320;0;0;0;0;0;0;0;3;2009;85000;85000
896;896;908225290;20;70;11767;5;5;1950;0;1078;0;0;1078;1368;0;0;1368;1;0;1;0;3;1;1950;1;195;0;41;211;0;0;0;900;6;2009;120000;120000
897;897;908225370;50;50;8405;4;3;1945;0;0;0;0;0;1088;441;0;1529;0;0;2;0;4;1;1945;1;240;92;0;185;0;0;0;0;4;2009;98000;98000
898;898;908229020;30;56;4060;5;8;1922;0;0;0;864;864;864;0;0;864;0;0;1;0;2;1;NA;0;0;0;96;0;0;0;0;0;7;2009;99900;99900
899;899;908250030;20;74;10206;3;3;1952;0;0;0;0;0;944;0;0;944;0;0;1;0;2;1;1956;2;528;0;0;0;0;0;0;0;7;2009;82000;82000
900;900;908275040;90;65;10926;5;5;1959;74;0;0;1678;1678;1678;0;0;1678;0;0;2;0;6;2;NA;0;0;0;0;0;0;0;0;0;8;2009;119900;119900
901;901;908275110;20;70;11767;5;5;1956;259;546;0;604;1150;1560;0;0;1560;0;0;1;0;2;1;1956;1;313;0;0;0;0;0;0;0;5;2009;103500;103500
902;902;908276150;20;NA;8926;4;3;1956;0;0;0;672;672;960;0;0;960;0;0;1;0;3;1;1956;1;288;64;0;0;0;160;0;0;10;2009;NA;112000
903;903;909101010;50;67;12354;6;8;1920;0;0;0;684;684;684;512;0;1196;0;0;1;0;3;1;2005;2;528;0;46;0;0;0;0;800;8;2009;110000;110000
904;904;909101100;50;45;8212;5;6;1941;0;626;0;94;720;854;444;0;1298;0;0;1;0;3;1;1940;1;256;84;0;0;0;0;0;0;9;2009;122000;122000
905;905;909101140;50;60;10998;5;5;1941;0;408;420;156;984;984;620;0;1604;0;0;2;0;3;1;1977;2;660;0;68;0;0;0;0;0;7;2009;117000;117000
906;906;909129090;50;70;6300;5;4;1938;88;832;0;0;832;832;436;0;1268;0;0;1;1;3;1;1938;1;250;0;0;55;0;0;0;0;7;2009;160000;160000
907;907;909129100;50;55;4500;5;5;1932;0;182;0;611;793;848;672;0;1520;0;0;1;0;3;1;1968;1;281;0;0;56;0;0;0;0;7;2009;159434;159434
908;908;909175080;30;60;8400;2;5;1920;0;290;0;0;290;438;0;0;438;0;0;1;0;1;1;1930;1;246;0;0;0;0;0;0;0;1;2009;60000;60000
909;909;909178160;50;60;9900;6;7;1940;0;0;0;778;778;944;545;0;1489;0;0;2;0;3;1;1940;1;240;335;0;0;0;0;0;0;7;2009;139500;139500
910;910;909179020;75;102;15863;7;3;1920;0;523;0;301;824;1687;998;397;3082;1;0;2;1;5;1;1970;2;672;136;63;0;0;0;0;0;8;2009;197000;197000
911;911;909250080;70;43;5707;6;6;1935;0;0;0;583;583;647;595;0;1242;0;0;1;1;3;1;1926;1;180;329;96;0;0;0;0;0;3;2009;105000;105000
912;912;909250220;50;65;7804;4;3;1928;0;622;0;500;1122;1328;653;0;1981;1;0;2;0;4;1;1981;2;576;431;44;0;0;0;0;0;12;2009;135000;135000
913;913;909251050;30;64;8574;6;8;1916;0;0;0;816;816;1232;0;0;1232;0;0;1;0;3;1;1916;2;440;0;0;180;0;0;0;0;10;2009;147500;147500
914;914;909251170;50;51;6171;6;6;1925;0;264;0;712;976;1160;448;0;1608;0;0;2;1;3;1;1925;1;216;147;16;0;0;0;0;0;10;2009;137450;137450
915;915;909252020;70;60;7200;7;9;1936;0;350;210;0;560;575;560;0;1135;1;0;1;0;3;1;1971;2;576;256;0;0;0;0;0;0;4;2009;155000;155000
916;916;909253010;50;57;7558;6;6;1928;0;0;0;896;896;1172;741;0;1913;0;0;1;1;3;1;1929;2;342;0;0;0;0;0;0;0;3;2009;177000;177000
917;917;909253180;50;52;6292;7;7;1928;0;0;0;861;861;877;600;0;1477;0;1;2;0;3;1;1928;1;216;0;50;0;0;0;0;0;8;2009;145000;145000
918;918;909254010;70;53;7155;7;8;1918;0;0;0;600;600;628;600;0;1228;0;0;1;0;3;1;1918;1;215;0;113;0;0;195;0;0;5;2009;137000;137000
919;919;909257050;70;53;10918;7;9;1926;0;0;0;1276;1276;1276;804;0;2080;0;0;1;1;3;1;1926;1;282;0;0;0;0;145;0;0;6;2009;234000;234000
920;920;909275080;50;60;13680;5;6;1940;0;728;0;112;840;840;727;0;1567;1;0;1;1;2;1;1961;2;440;0;21;150;0;0;0;0;2;2009;205000;205000
921;921;909276110;70;NA;7500;6;7;1942;0;547;0;224;771;753;741;0;1494;0;0;1;0;3;1;1942;1;213;0;0;0;0;224;0;0;11;2009;NA;177500
922;922;909276200;50;130;9600;5;7;1940;0;428;0;300;728;976;332;0;1308;1;0;1;1;2;1;1940;1;256;0;70;0;0;0;0;0;6;2009;160000;160000
923;923;909277090;20;80;14680;5;4;1960;0;793;0;480;1273;1273;0;0;1273;0;0;1;0;2;1;1960;1;307;483;0;0;0;115;0;0;6;2009;155000;155000
924;924;909277100;30;80;13360;5;7;1921;0;713;0;163;876;964;0;0;964;1;0;1;0;2;1;1921;2;432;0;0;44;0;0;0;0;8;2009;163500;163500
925;925;909278020;50;54;7681;5;6;1921;0;0;0;731;731;820;523;0;1343;0;0;1;1;3;1;1921;1;186;192;0;102;0;0;0;0;7;2009;154900;154900
926;926;909279010;90;NA;8145;7;6;1940;0;246;0;674;920;1240;1240;0;2480;0;0;2;1;5;2;1940;2;400;0;0;57;0;0;0;0;7;2009;NA;205000
927;927;909282130;20;70;9100;5;6;1954;0;154;694;264;1112;1112;0;0;1112;1;0;1;0;2;1;1954;1;390;0;0;0;0;0;0;0;10;2009;144800;144800
928;928;909425060;70;75;12000;7;7;1941;0;275;0;429;704;860;704;0;1564;0;0;1;1;3;1;1941;1;234;0;0;0;0;0;0;0;7;2009;174500;174500
929;929;909425130;20;90;13339;6;6;1960;132;65;875;621;1561;1561;0;0;1561;1;0;2;0;3;1;1960;2;463;0;148;0;0;120;0;0;5;2009;193000;193000
930;930;909426090;50;78;15600;5;7;1949;0;312;507;248;1067;986;537;0;1523;1;0;2;0;3;1;1949;1;295;0;0;81;0;0;0;0;10;2009;158000;158000
931;931;909427200;20;80;14000;6;8;1950;0;0;0;1092;1092;1152;0;0;1152;0;1;1;0;3;1;1950;1;300;0;36;0;0;0;0;0;8;2009;158500;158500
932;932;909428240;20;100;17500;6;5;1954;420;784;435;91;1310;1906;0;0;1906;1;0;1;1;3;1;1954;2;576;0;201;0;0;0;0;0;1;2009;224000;224000
933;933;909451040;160;24;1733;6;6;1980;0;0;0;516;516;516;516;0;1032;0;0;1;0;2;1;1980;2;452;279;0;0;0;0;0;0;5;2009;115000;115000
934;934;909451100;160;24;1488;6;6;1980;0;471;0;90;561;561;668;0;1229;1;0;1;1;2;1;1980;2;462;176;0;0;0;0;0;0;10;2009;137000;137000
935;935;909451140;160;24;1612;6;6;1980;0;0;0;561;561;561;668;0;1229;0;0;1;1;2;1;1980;2;462;154;0;0;0;0;0;0;7;2009;121000;121000
936;936;909451180;160;24;1300;6;6;1980;0;285;0;276;561;561;668;0;1229;0;0;1;1;2;1;1980;2;462;150;0;0;0;0;0;0;5;2009;124000;124000
937;937;909452050;80;NA;13607;6;6;1986;242;454;0;118;572;1182;800;0;1982;1;0;2;1;3;1;1986;2;501;400;112;0;0;0;0;1500;4;2009;NA;208000
938;938;909475040;20;NA;17597;7;9;1971;0;803;419;581;1803;2365;0;0;2365;1;0;2;0;3;1;1971;2;551;200;144;0;0;0;0;0;7;2009;NA;315000
939;939;909475300;20;NA;21695;6;9;1988;260;808;0;72;880;1680;0;0;1680;1;0;2;0;3;1;1988;2;540;292;44;0;182;0;0;0;12;2009;NA;222000
940;940;910202070;70;59;10690;5;7;1920;0;456;0;216;672;672;672;0;1344;0;0;1;0;3;1;1964;1;468;0;128;218;0;0;0;0;7;2009;147000;147000
941;941;910204050;70;50;8660;5;6;1900;0;0;0;760;760;928;928;312;2168;0;0;2;0;5;1;1998;2;576;467;160;78;0;0;0;0;12;2009;123000;123000
942;942;910205020;70;60;6402;5;5;1920;0;0;0;596;596;596;596;0;1192;0;0;1;0;3;1;1920;1;189;0;0;137;0;0;0;0;7;2009;78000;78000
943;943;911103050;50;105;8470;3;2;1915;0;0;0;1013;1013;1013;0;513;1526;0;0;1;0;2;1;NA;0;0;0;0;156;0;0;0;0;10;2009;85000;85000
944;944;911104060;30;60;10200;4;6;1925;0;0;0;572;572;572;0;0;572;0;0;1;0;2;1;1940;1;200;0;0;72;0;0;0;0;5;2009;75000;75000
945;945;911370500;120;44;3843;8;5;2007;174;1476;0;120;1596;1648;0;0;1648;1;1;2;0;2;1;2007;2;482;162;53;0;153;0;0;0;6;2009;230000;230000
946;946;912251110;30;109;21780;2;4;1910;0;0;0;0;0;810;0;0;810;0;0;1;0;1;1;1975;1;280;119;24;0;0;0;0;0;3;2009;57625;57625
947;947;914465020;60;75;10125;8;5;2000;0;445;250;412;1107;1040;1012;0;2052;0;0;2;1;3;1;2000;3;642;210;91;0;0;0;0;0;5;2009;251000;251000
948;948;914465040;50;48;12822;7;5;2003;0;1351;0;83;1434;1518;631;0;2149;1;0;1;1;1;1;2003;2;670;168;43;0;0;198;0;0;8;2009;239686;239686
949;949;914465055;20;43;12118;7;5;2004;108;0;0;1710;1710;1710;0;0;1710;0;0;2;0;3;1;2004;2;550;100;48;0;0;180;0;0;4;2009;240000;240000
950;950;914474070;60;71;12209;6;5;2001;0;690;0;114;804;804;1157;0;1961;1;0;2;1;3;1;2001;2;560;125;192;0;0;0;0;0;6;2009;215000;215000
951;951;914475010;85;75;9750;6;6;1977;0;767;0;135;902;926;0;0;926;1;0;1;0;2;1;1977;1;351;319;0;0;0;0;0;0;4;2009;156450;156450
952;952;914475030;85;72;9360;6;7;1977;0;841;116;0;957;1287;0;0;1287;1;0;1;1;2;1;1977;2;541;302;39;0;0;120;0;0;11;2009;173000;173000
953;953;914476020;90;75;10125;5;5;1977;0;0;0;0;0;1302;432;0;1734;0;0;2;0;4;2;1977;2;539;0;0;0;0;0;0;0;8;2009;126000;126000
954;954;914476380;80;NA;9947;7;5;1990;0;611;0;577;1188;1217;0;0;1217;1;0;2;0;3;1;1990;2;497;168;27;0;0;0;0;0;6;2009;NA;173000
955;955;914476430;20;82;11070;5;5;1991;0;55;0;1527;1582;1595;0;0;1595;1;0;2;0;2;1;1991;2;672;0;0;0;0;0;0;0;4;2009;152000;152000
956;956;916176030;20;NA;14375;6;6;1958;541;111;354;354;819;1344;0;0;1344;0;1;1;0;3;1;1958;2;525;0;118;0;0;233;0;0;1;2009;NA;137500
957;957;916176125;20;150;215245;7;5;1965;0;1236;820;80;2136;2036;0;0;2036;2;0;2;0;3;1;1965;2;513;0;0;0;0;0;0;0;6;2009;375000;375000
958;958;916380070;20;89;12898;9;5;2007;70;1022;0;598;1620;1620;0;0;1620;1;0;2;0;2;1;2008;3;912;228;0;0;0;0;0;0;9;2009;315500;315500
959;959;916382010;60;83;13159;7;5;2009;0;0;0;846;846;846;846;0;1692;0;0;2;1;3;1;2009;2;650;208;114;0;0;0;0;0;7;2009;224500;224500
960;960;916382100;20;113;13438;9;5;2008;246;1758;0;432;2190;2036;0;0;2036;1;0;2;0;3;1;2008;3;780;90;154;0;0;0;0;0;7;2009;410000;410000
961;961;916382110;20;79;14463;9;5;2008;406;1115;0;526;1641;1641;0;0;1641;1;0;2;0;3;1;2008;3;885;0;95;0;0;0;0;0;1;2009;316500;316500
962;962;916386140;20;73;8925;8;5;2007;0;16;0;1450;1466;1466;0;0;1466;0;0;2;0;3;1;2007;3;610;100;18;0;0;0;0;0;7;2009;201000;201000
963;963;916403010;20;130;11457;6;5;1988;0;1005;0;387;1392;1412;0;0;1412;1;0;2;0;3;1;1988;2;576;0;0;169;0;0;0;0;3;2009;175000;175000
964;964;916403200;60;NA;9839;6;8;1980;0;462;0;250;712;1375;862;0;2237;0;0;2;1;3;1;1980;2;440;305;24;0;0;0;0;2500;2;2009;NA;204000
965;965;916403250;80;125;14419;7;5;1987;310;904;624;117;1645;1479;0;0;1479;2;0;2;1;3;1;1987;2;578;224;238;0;0;0;0;0;7;2009;213500;213500
966;966;916455070;20;NA;6853;8;5;2001;136;1005;0;262;1267;1296;0;0;1296;1;0;2;0;2;1;2001;2;471;192;25;0;0;0;0;0;6;2009;NA;220000
967;967;916460110;60;75;9157;7;5;2003;0;0;0;912;912;1072;942;0;2014;0;0;2;1;3;1;2003;2;486;124;114;0;0;0;0;0;2;2009;170000;170000
968;968;916475040;20;85;14601;9;5;2006;584;1260;0;578;1838;1838;0;0;1838;1;0;2;0;2;1;2006;3;765;270;68;0;0;0;0;0;3;2009;315000;315000
969;969;921128050;20;85;12633;9;5;2007;290;1640;0;338;1978;1978;0;0;1978;1;0;2;0;2;1;2007;3;920;308;52;0;0;0;0;0;5;2009;425000;425000
970;970;923201100;20;75;12518;5;7;1968;182;532;0;476;1008;1008;0;0;1008;0;0;1;0;3;1;1968;1;384;144;0;0;0;0;0;0;4;2009;139500;139500
971;971;923202060;20;100;21750;5;4;1960;75;0;0;0;0;1771;0;0;1771;0;0;1;0;3;1;1960;2;336;0;0;0;0;0;0;0;11;2009;115000;115000
972;972;923203110;120;32;4500;6;5;1998;320;866;0;338;1204;1204;0;0;1204;1;0;2;0;2;1;1998;2;412;0;247;0;0;0;0;0;6;2009;162000;162000
973;973;923203190;120;NA;4500;6;5;1999;425;883;0;341;1224;1224;0;0;1224;1;0;2;0;2;1;1999;2;402;0;304;0;0;0;0;0;6;2009;NA;165000
974;974;923225360;180;21;1596;4;5;1973;0;462;0;0;462;526;462;0;988;1;0;1;0;2;1;1973;1;297;120;101;0;0;0;0;0;11;2009;91000;91000
975;975;923225490;20;62;9858;5;6;1968;0;510;0;354;864;874;0;0;874;1;0;1;0;3;1;1968;1;288;33;0;0;0;0;0;600;11;2009;130000;130000
976;976;923226270;180;21;1526;4;8;1970;0;515;0;115;630;630;0;0;630;1;0;1;0;1;1;1970;1;286;0;0;0;0;0;0;0;5;2009;86000;86000
977;977;923227080;20;83;13383;5;5;1969;176;594;0;594;1188;1404;0;0;1404;0;0;2;0;3;1;1969;2;504;0;16;0;0;0;0;0;3;2009;160000;160000
978;978;923228110;180;21;1477;4;4;1970;0;509;0;121;630;630;0;0;630;1;0;1;0;1;1;1970;1;286;0;0;0;0;0;0;0;4;2009;80000;80000
979;979;923228150;160;21;1533;4;6;1970;0;0;0;546;546;798;546;0;1344;0;0;1;1;3;1;NA;0;0;0;0;0;0;0;0;0;5;2009;97000;97000
980;980;923228230;160;21;2217;4;4;1970;0;273;273;0;546;546;546;0;1092;0;0;1;1;3;1;1970;1;286;238;0;0;0;0;0;0;8;2009;88000;88000
981;981;923230200;85;50;7689;5;8;1972;0;720;76;0;796;796;0;0;796;0;1;1;0;2;1;1998;1;336;138;0;0;0;0;0;0;7;2009;131900;131900
982;982;923252075;80;62;7706;6;5;1993;0;114;270;0;384;1091;0;0;1091;0;1;1;0;2;1;1993;1;429;280;0;0;0;0;0;700;8;2009;131250;131250
983;983;923275040;85;NA;9101;5;6;1978;104;1097;0;0;1097;1110;0;0;1110;1;0;1;0;1;1;1978;2;602;303;30;0;0;0;0;0;7;2009;NA;165500
984;984;923275140;20;NA;8780;5;5;1985;0;625;0;208;833;833;0;0;833;1;0;1;0;3;1;NA;0;0;0;0;0;0;0;0;0;3;2009;NA;112000
985;985;923276260;85;70;7669;5;6;1992;0;718;110;0;828;883;0;0;883;1;0;1;0;2;1;1998;2;698;100;32;0;0;0;0;0;6;2009;149000;149000
986;986;923400025;50;85;14115;5;5;1993;0;732;0;64;796;796;566;0;1362;1;0;1;1;1;1;1993;2;480;40;30;0;320;0;0;700;10;2009;143000;143000
987;987;923400110;60;62;10429;5;5;1992;0;330;0;294;624;624;663;0;1287;0;0;1;1;3;1;2001;2;440;150;0;0;0;0;0;0;7;2009;130000;130000
988;988;924100040;20;NA;9819;6;5;1977;0;1567;0;0;1567;1567;0;0;1567;1;0;2;0;2;1;1977;2;714;264;32;0;0;0;0;0;5;2009;NA;196000
989;989;924100060;60;70;10457;5;7;1969;178;496;288;0;784;784;848;0;1632;0;0;1;1;4;1;1969;2;898;0;173;368;0;0;0;0;4;2009;173000;173000
990;990;526351030;20;87;11029;6;8;1958;0;528;411;245;1184;1414;0;0;1414;1;0;1;0;3;1;1990;2;601;0;51;0;0;190;0;0;5;2008;176500;176500
991;991;526353050;20;NA;12925;6;7;1970;0;865;0;340;1205;2117;0;0;2117;0;0;2;1;4;1;1970;2;550;0;42;0;0;0;0;0;5;2008;NA;237500
992;992;526354070;60;85;11075;6;5;1969;0;500;276;176;952;1092;1020;0;2112;0;0;2;1;4;1;1969;2;576;280;0;0;0;0;0;0;6;2008;206900;206900
993;993;527105050;60;72;8702;6;5;1997;0;706;0;220;926;926;678;0;1604;0;0;2;1;3;1;1997;2;470;0;36;0;0;0;0;0;4;2008;187500;187500
994;994;527106050;60;65;8139;6;5;1995;119;476;0;204;680;680;790;0;1470;0;0;2;1;3;1;1995;2;420;192;49;0;0;0;0;0;10;2008;165000;165000
995;995;527106140;60;59;9535;6;5;1998;0;851;0;75;926;926;678;0;1604;0;0;2;1;3;1;1998;2;472;100;82;0;0;0;0;0;5;2008;195500;195500
996;996;527106150;60;59;9042;6;5;1998;0;828;0;115;943;943;695;0;1638;1;0;2;1;3;1;1998;2;472;100;38;0;0;0;0;0;7;2008;192000;192000
997;997;527107010;60;NA;15038;6;5;1996;0;138;0;778;916;916;720;0;1636;0;0;2;1;3;1;1996;2;386;168;84;0;0;0;0;0;11;2008;NA;173000
998;998;527107090;20;53;14137;5;5;1996;0;450;0;898;1348;1384;0;0;1384;1;0;2;0;3;1;1996;2;404;0;39;0;0;0;0;0;11;2008;177900;177900
999;999;527107210;60;57;21872;7;5;1996;0;604;0;125;729;729;717;0;1446;0;1;2;1;3;1;1996;2;406;264;22;0;0;0;0;0;8;2008;175000;175000
1000;1000;527127140;120;41;4923;8;5;2001;0;1153;0;440;1593;1593;0;0;1593;1;0;1;1;0;1;2001;2;682;0;120;0;0;224;0;0;8;2008;286000;286000
1001;1001;527131110;120;45;6264;8;5;1997;0;656;0;1008;1664;1682;0;0;1682;1;0;1;1;1;1;1997;2;528;0;0;0;0;0;0;0;7;2008;247900;247900
1002;1002;527140090;120;41;5395;8;5;1993;0;733;0;604;1337;1337;0;0;1337;1;0;2;0;2;1;1993;2;462;96;0;70;168;0;0;0;10;2008;180000;180000
1003;1003;527145090;120;39;5070;8;5;1992;0;0;0;1280;1280;1280;0;0;1280;0;0;2;0;2;1;1992;2;506;0;82;0;0;144;0;0;8;2008;180000;180000
1004;1004;527161010;60;100;10839;6;5;1997;0;0;0;926;926;926;678;0;1604;0;0;2;1;3;1;1997;2;470;0;36;0;0;0;0;0;7;2008;181000;181000
1005;1005;527162180;60;73;11184;6;5;1998;0;0;0;932;932;932;701;0;1633;0;0;2;1;3;1;1998;2;460;0;39;0;0;0;0;0;4;2008;183000;183000
1006;1006;527163100;60;NA;8000;6;5;1995;0;219;0;554;773;773;885;0;1658;1;0;2;1;3;1;1995;2;431;224;84;0;0;0;0;0;6;2008;NA;188000
1007;1007;527164120;60;NA;10832;7;5;1994;0;0;0;712;712;1086;809;0;1895;0;0;2;1;3;1;1994;2;409;143;46;0;0;0;0;500;10;2008;NA;194500
1008;1008;527165010;60;NA;14067;6;5;1991;194;504;0;332;836;851;858;0;1709;1;0;2;1;3;1;1991;2;416;0;40;0;0;0;0;0;9;2008;NA;185000
1009;1009;527183030;120;40;4671;8;5;1988;0;767;0;461;1228;1228;0;0;1228;1;0;2;0;2;1;1988;2;472;168;120;0;0;0;0;0;10;2008;189000;189000
1010;1010;527183060;120;65;5950;8;5;1989;0;319;0;1018;1337;1337;0;0;1337;1;0;2;0;2;1;1989;2;462;0;73;154;0;0;0;0;4;2008;188500;188500
1011;1011;527208010;60;101;13543;8;5;2005;130;16;0;1152;1168;1168;1332;0;2500;0;0;3;1;5;1;2005;3;683;192;32;0;0;0;0;0;7;2008;355000;355000
1012;1012;527212050;60;77;11198;9;5;2005;245;0;0;1122;1122;1134;1370;0;2504;0;0;2;1;4;1;2005;3;656;144;39;0;0;0;0;0;6;2008;325000;325000
1013;1013;527214030;20;53;15401;9;5;2004;296;1337;0;547;1884;1884;0;0;1884;1;0;2;0;2;1;2004;3;670;214;76;0;0;0;0;0;9;2008;387000;387000
1014;1014;527226020;20;NA;31220;6;2;1952;0;0;0;1632;1632;1474;0;0;1474;0;0;1;0;3;1;1952;2;495;0;0;144;0;0;0;750;5;2008;NA;115000
1015;1015;527252080;120;60;8118;9;5;2007;178;1034;0;676;1710;1710;0;0;1710;1;0;2;0;2;1;2007;2;557;156;48;0;0;0;0;0;7;2008;334000;334000
1016;1016;527276040;20;NA;47280;6;5;1950;44;0;0;1488;1488;1488;0;0;1488;0;0;2;1;3;1;1950;2;738;0;0;180;0;0;0;0;7;2008;NA;133000
1017;1017;527301170;60;46;20544;7;6;1986;123;0;0;791;791;1236;857;0;2093;0;0;2;1;3;1;1986;2;542;364;63;0;0;0;0;0;11;2008;215000;215000
1018;1018;527301245;20;63;12680;7;6;1988;102;983;0;692;1675;1688;0;0;1688;1;0;2;0;2;1;1988;2;528;0;48;0;0;141;0;0;6;2008;226500;226500
1019;1019;527302050;20;78;12090;6;6;1981;210;588;228;606;1422;1422;0;0;1422;0;0;2;0;3;1;1981;2;576;276;0;0;0;0;0;0;6;2008;175500;175500
1020;1020;527302070;20;NA;10825;7;7;1983;174;747;0;513;1260;1260;0;0;1260;1;0;2;0;3;1;1983;2;598;152;0;0;0;0;0;0;7;2008;NA;181900
1021;1021;527302185;20;56;18559;7;5;1978;383;1206;186;656;2048;2064;0;0;2064;1;0;2;0;3;1;1978;2;550;200;0;0;0;0;0;0;8;2008;235000;235000
1022;1022;527302210;20;85;14450;7;5;1979;194;864;449;469;1782;1782;0;0;1782;0;1;2;0;3;1;1979;2;551;467;0;0;0;0;0;0;3;2008;220000;220000
1023;1023;527325070;60;NA;12227;6;7;1977;424;896;0;434;1330;1542;1330;0;2872;1;0;2;1;4;1;1977;2;619;550;282;0;0;0;0;0;7;2008;NA;272000
1024;1024;527325240;20;90;13068;6;5;1976;621;890;48;273;1211;1211;0;0;1211;1;0;2;0;3;1;1976;2;461;0;0;0;174;0;0;0;11;2008;161000;161000
1025;1025;527326130;20;NA;15611;5;6;1977;0;767;93;266;1126;1126;0;0;1126;0;1;2;0;3;1;1977;2;540;180;0;0;0;0;0;0;3;2008;NA;175000
1026;1026;527354160;60;80;10400;7;6;1980;280;0;0;738;738;1277;767;0;2044;0;0;2;1;3;1;1980;2;489;28;73;0;0;0;0;0;3;2008;185000;185000
1027;1027;527357110;60;75;9743;5;6;1969;0;280;0;440;720;720;588;0;1308;0;0;1;1;3;1;1969;2;484;0;0;0;0;0;0;0;6;2008;146900;146900
1028;1028;527357180;60;NA;12511;7;7;1978;168;988;0;432;1420;1420;1420;0;2840;0;1;2;1;4;1;1978;4;1314;0;16;0;0;208;0;0;12;2008;NA;292500
1029;1029;527358120;20;104;11361;6;5;1976;160;644;0;549;1193;1523;0;0;1523;0;1;2;0;3;1;1976;2;478;0;0;0;0;189;0;0;5;2008;180000;180000
1030;1030;527359030;20;80;10400;6;5;1976;120;0;0;1444;1444;1444;0;0;1444;0;0;2;0;2;1;1976;2;473;0;24;0;0;0;0;0;4;2008;159900;159900
1031;1031;527359070;60;80;10480;7;6;1976;660;403;0;400;803;1098;866;0;1964;0;0;2;1;4;1;1976;2;483;0;69;0;0;0;0;0;9;2008;205000;205000
1032;1032;527378020;20;80;10000;5;6;1973;0;1084;0;92;1176;1178;0;0;1178;0;1;1;1;3;1;1973;2;439;224;0;0;0;0;0;0;11;2008;157000;157000
1033;1033;527380240;60;NA;14311;8;5;1996;402;1023;0;213;1236;1236;1104;0;2340;1;0;2;1;4;1;1996;3;787;192;180;218;0;0;0;0;6;2008;NA;306000
1034;1034;527401130;90;60;9000;5;5;1974;0;0;0;896;896;896;896;0;1792;0;0;2;2;4;2;1982;2;480;0;45;0;0;0;0;0;6;2008;133000;133000
1035;1035;527402060;20;65;9750;6;8;1969;0;602;438;14;1054;1054;0;0;1054;1;0;1;1;3;1;1969;2;460;180;0;0;0;80;0;0;7;2008;151000;151000
1036;1036;527402130;20;68;10295;4;6;1969;72;252;0;684;936;936;0;0;936;0;0;1;0;2;1;1969;1;288;16;0;0;0;0;0;0;9;2008;111900;111900
1037;1037;527403360;20;63;7560;5;5;1971;0;119;613;132;864;864;0;0;864;1;0;1;0;3;1;1977;2;576;0;0;0;0;0;0;0;5;2008;123000;123000
1038;1038;527425035;20;NA;12735;4;5;1972;0;600;0;264;864;864;0;0;864;0;0;1;0;3;1;1980;2;576;216;0;0;0;0;0;0;4;2008;NA;111250
1039;1039;527427110;120;34;4060;6;5;1998;0;266;0;1139;1405;1337;0;0;1337;1;0;2;0;2;1;1998;2;511;144;68;0;0;0;0;0;8;2008;181000;181000
1040;1040;527450110;160;21;1680;6;5;1973;359;458;0;25;483;483;504;0;987;0;1;1;1;2;1;1973;1;264;52;0;0;0;0;0;0;2;2008;103400;103400
1041;1041;527450250;160;21;1680;6;5;1973;158;330;0;153;483;483;504;0;987;1;0;1;1;2;1;1973;1;264;0;0;0;0;0;0;0;11;2008;100000;100000
1042;1042;527450520;160;21;1890;6;6;1972;422;483;0;0;483;483;504;0;987;0;0;1;1;2;1;1975;1;352;411;0;0;0;0;0;0;4;2008;100500;100500
1043;1043;527451060;160;21;1869;6;6;1970;127;321;0;162;483;483;504;0;987;0;0;1;1;2;1;1987;1;280;0;0;0;0;0;0;0;9;2008;106000;106000
1044;1044;527451290;160;21;1680;6;5;1971;232;387;0;96;483;483;504;0;987;0;0;1;1;2;1;1971;1;264;0;0;0;0;0;0;0;7;2008;85400;85400
1045;1045;527451400;160;21;1680;6;3;1971;604;358;0;125;483;483;504;0;987;0;0;1;1;2;1;1971;1;264;0;0;0;0;0;0;0;8;2008;89500;89500
1046;1046;527451550;160;21;1680;5;5;1972;356;350;0;280;630;630;672;0;1302;0;0;2;1;3;1;1972;1;264;0;0;0;0;0;0;0;12;2008;111750;111750
1047;1047;527452150;120;53;4043;6;6;1977;0;559;0;510;1069;1069;0;0;1069;0;0;2;0;2;1;1977;2;440;0;55;0;0;200;0;0;10;2008;140000;140000
1048;1048;527453160;160;24;2308;6;6;1975;0;286;294;275;855;855;601;0;1456;0;0;2;1;4;1;1975;2;460;0;0;0;0;0;0;0;5;2008;143000;143000
